PathID	ReceptorRound	LigandRound	SBGN-Inhibition	ReceptorSquare	LigandSquare	Receptor	mim-covalent-bond	mim-gap	mim-translocation	SBGN-Production	mim-branching-left	mim-branching-right	SBGN-Catalysis	mim-cleavage	mim-necessary-stimulation	mim-modification	TBar	mim-transcription-translation	mim-binding	mim-inhibition	mim-stimulation	mim-catalysis	mim-conversion	Arrow
WP4891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WP5256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
WP5145	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	27
WP5190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	23	10
WP4504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	45	4
WP530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	33
WP477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WP3585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	8	8	0
WP4655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0	2	2	20
WP2942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5
WP4153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	14	0
WP2291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20
WP3893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
WP3892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
WP5053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	22	0	1	0
WP2491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0
WP5219	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	10
WP2895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	4	0
WP4931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
WP5195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	5
